sampleId;datasetId
HG00096;1
HG00101;1
HG00103;1
HG00105;1
HG00107;1
HG00108;1
HG00109;1
HG00112;1
HG00113;1
HG00114;1
HG00115;1
HG00116;1
HG00117;1
HG00119;1
HG00126;1
HG00129;1
HG00131;1
HG00136;1
HG00138;1
HG00139;1
HG00140;1
HG00141;1
HG00142;1
HG00143;1
HG00145;1
HG00148;1
HG00149;1
HG00151;1
HG00155;1
HG00157;1
HG00159;1
HG00160;1
HG00181;1
HG00182;1
HG00183;1
HG00185;1
HG00186;1
HG00187;1
HG00188;1
HG00189;1
HG00190;1
HG00234;1
HG00242;1
HG00243;1
HG00244;1
HG00246;1
HG00251;1
HG00252;1
HG00256;1
HG00260;1
HG00264;1
HG00265;1
HG00267;1
HG00271;1
HG00273;1
HG00277;1
HG00278;1
HG00280;1
HG00284;1
HG00290;1
HG00308;1
HG00310;1
HG00311;1
HG00321;1
HG00325;1
HG00329;1
HG00335;1
HG00336;1
HG00338;1
HG00341;1
HG00342;1
HG00345;1
HG00351;1
HG00358;1
HG00360;1
HG00366;1
HG00369;1
HG00371;1
HG00372;1
HG00375;1
HG00382;1
HG00403;1
HG00406;1
HG00409;1
HG00421;1
HG00436;1
HG00442;1
HG00445;1
HG00448;1
HG00451;1
HG00457;1
HG00463;1
HG00472;1
HG00475;1
HG00478;1
HG00500;1
HG00524;1
HG00530;1
HG00533;1
HG00536;1
HG00542;1
HG00553;1
HG00556;1
HG00559;1
HG00565;1
HG00580;1
HG00583;1
HG00589;1
HG00592;1
HG00595;1
HG00598;1
HG00607;1
HG00610;1
HG00613;1
HG00619;1
HG00622;1
HG00625;1
HG00628;1
HG00631;1
HG00634;1
HG00637;1
HG00640;1
HG00650;1
HG00653;1
HG00656;1
HG00662;1
HG00671;1
HG00674;1
HG00683;1
HG00689;1
HG00692;1
HG00698;1
HG00701;1
HG00704;1
HG00707;1
HG00728;1
HG00731;1
HG00736;1
HG00739;1
HG00742;1
HG00844;1
HG00881;1
HG00982;1
HG01028;1
HG01031;1
HG01047;1
HG01048;1
HG01051;1
HG01054;1
HG01060;1
HG01063;1
HG01066;1
HG01069;1
HG01072;1
HG01075;1
HG01079;1
HG01082;1
HG01085;1
HG01088;1
HG01094;1
HG01097;1
HG01101;1
HG01104;1
HG01107;1
HG01110;1
HG01112;1
HG01121;1
HG01124;1
HG01130;1
HG01133;1
HG01136;1
HG01139;1
HG01142;1
HG01148;1
HG01161;1
HG01164;1
HG01167;1
HG01170;1
HG01173;1
HG01176;1
HG01182;1
HG01187;1
HG01190;1
HG01197;1
HG01200;1
HG01204;1
HG01241;1
HG01247;1
HG01250;1
HG01253;1
HG01256;1
HG01259;1
HG01271;1
HG01277;1
HG01280;1
HG01286;1
HG01302;1
HG01305;1
HG01308;1
HG01311;1
HG01325;1
HG01334;1
HG01341;1
HG01344;1
HG01350;1
HG01353;1
HG01356;1
HG01359;1
HG01362;1
HG01365;1
HG01374;1
HG01377;1
HG01383;1
HG01389;1
HG01392;1
HG01395;1
HG01398;1
HG01402;1
HG01405;1
HG01412;1
HG01413;1
HG01431;1
HG01437;1
HG01440;1
HG01443;1
HG01455;1
HG01461;1
HG01464;1
HG01479;1
HG01485;1
HG01488;1
HG01491;1
HG01494;1
HG01497;1
HG01500;1
HG01503;1
HG01506;1
HG01509;1
HG01512;1
HG01515;1
HG01518;1
HG01521;1
HG01524;1
HG01527;1
HG01530;1
HG01536;1
HG01550;1
HG01556;1
HG01565;1
HG01571;1
HG01577;1
HG01583;1
HG01586;1
HG01589;1
HG01596;1
HG01603;1
HG01606;1
HG01608;1
HG01610;1
HG01615;1
HG01617;1
HG01619;1
HG01624;1
HG01625;1
HG01630;1
HG01631;1
HG01669;1
HG01672;1
HG01675;1
HG01678;1
HG01680;1
HG01682;1
HG01686;1
HG01694;1
HG01699;1
HG01700;1
HG01705;1
